Line Number,Timestamp,Severity,Rule Name,Category,Description,Matched Text,Confidence
59,,high,privileged_escalation,privilege_escalation,Potential privilege escalation attempt,privilege escalat,1.00
60,,high,privileged_escalation,privilege_escalation,Potential privilege escalation attempt,privilege escalat,1.00
61,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 301 428",0.70
62,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 404 411",0.70
64,,medium,failed_login_attempt,authentication,Failed login attempt detected,failed login,0.80
66,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 404",0.70
67,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 404",0.70
69,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 404",0.70
72,,high,lfi_rfi_attempt,web_attack,Local/Remote File Inclusion attempt,../,0.90
72,,high,suspicious_file_access,file_access,Access to suspicious files,/etc/passwd,0.90
72,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 404",0.70
72,,high,directory_traversal,web_attack,Directory traversal attempt,../,0.90
73,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 404 2445",0.70
75,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 404 4412",0.70
77,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 404",0.70
80,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 301 1586",0.70
82,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 404 1576",0.70
83,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 301 1519",0.70
84,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 304 1509",0.70
86,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 404 1496",0.70
87,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 404",0.70
88,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 404",0.70
89,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 404",0.70
90,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 301 4533",0.70
93,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 404 1437",0.70
94,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 404",0.70
95,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 404 2474",0.70
100,,high,xss_attempt,web_attack,Cross-Site Scripting (XSS) attempt,<script,0.90
100,,low,http_error_spike,web_error,HTTP error response (potential attack),"HTTP/1.1"" 403 470",0.70
